id,name,area,category,conversation_level,description,notes,reference,instagram,google_maps_url
spot_011,大崎 浜本商店,大崎,shop,low,"地元商店。島の暮らしに触れられる小さなお店。","営業時間は現地/連絡先確認推奨","観光協会","",
spot_012,大崎 花崎商店,大崎,shop,low,"昔ながらの商店。島の食や日用品を扱う。","SNS/現地確認推奨","観光協会","",
spot_013,大崎 HOGARAKA,大崎,shop,low,"雑貨・体験系のショップ。小物や島の暮らし系商品があるかも。","詳細はSNS/現地で","観光協会","",
spot_014,大崎 PORTAL,大崎,shop,medium,"大崎にある交流スペース・ショップ。地域の情報拠点としても面白い。","営業日要確認","観光協会","",
spot_015,大崎 岡本酒店,大崎,shop,low,"地元の酒店。お土産購入や島の人との会話があるかもしれない。","詳細営業は現地確認","観光協会","",
spot_016,大崎 青木ミート,大崎,shop,low,"精肉店。島の食文化を知るきっかけに。","最新営業時間は現地/店舗確認","観光協会","",
spot_017,大崎 秀ちゃん農園,大崎,farm,medium,"地元農園。野菜・果物の生産体験・販売をしている可能性あり。","訪問前に連絡確認推奨","観光協会","",
spot_018,大崎 トイセンター松原,大崎,shop,low,"雑貨・日用品系の地元商店。","営業時間要確認","観光協会","",
spot_019,木江 悠,木江,shop,low,"木江地区のショップ。島の暮らし系商品を扱う可能性あり。","確認推奨","観光協会","",
spot_020,木江 沖浦ショップ,木江,shop,low,"木江地区のショップ。","確認推奨","観光協会","",
spot_021,木江 明石ストアー,木江,shop,low,"古くからある木江の商店。","確認推奨","観光協会","",
spot_022,Okushi Campsite & Beach,大崎,nature,medium,"大崎上島の人気ビーチ＆キャンプ場。海水浴・カヤック等のアクティビティが楽しめる。","アクティビティは季節/時間で変動あり","観光情報","",
spot_023,Kinoe Onsen Hotel Seifukan,大崎,onsen,medium,"瀬戸内海を見渡せる絶景温泉付きホテル。休憩・宿泊利用で島の自然を満喫。","営業状況は施設公式確認推奨","観光情報","",
